,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB
0,Adam Ounas ,22, AM(CLR),6.59,Napoli,172,65,5(10),462,3,-,-,-,1,83.0,0.1,1,3,-,1,1.1,1.2,0.7,-,0.6,1.1,0.3,0.1,0.3,-,-,0.5,-,-,-,1.1,15.3,83.0,0.1,0.6,0.2
1,Alex Meret ,22, GK,6.75,Napoli,190,82,10(1),881,-,-,-,1,-,70.5,0.4,-,-,-,-,-,-,0.4,-,-,-,-,-,0.2,-,0.8,-,-,-,-,-,21.9,70.5,-,4.0,-
2,Allan ,28, DMC,7.19,Napoli,173,73,22(4),2103,-,3,8,-,0.8,89.7,0.5,1,-,3,0.8,1.1,1.3,2,-,1.3,1,3.5,1,1.5,-,0.8,2.3,0.4,-,3,1.1,67.9,89.7,0.1,3.5,0.2
3,Amadou Diawara ,21, DMC,6.59,Napoli,183,75,8(5),661,-,-,4,-,0.8,92.8,0.5,-,-,-,0.8,0.4,0.7,0.2,-,0.5,0.3,0.9,0.8,1.2,-,0.8,0.1,-,-,-,0.4,41.8,92.8,-,2.6,-
4,Amin Younes ,25, AM(CL),6.74,Napoli,168,67,1(3),113,2,-,-,-,0.8,90.0,-,-,2,-,0.8,0.3,0.5,0.8,-,0.3,0.3,0.8,0.3,0.3,-,-,0.5,-,-,-,0.3,20.0,90.0,-,0.3,-
5,Arkadiusz Milik ,25, FW,7.15,Napoli,186,78,19(7),1678,16,1,3,-,2.9,81.9,1.2,4,16,1,2.9,0.8,0.2,0.7,0.5,0.6,1.3,0.5,0.1,1.2,-,0.2,0.7,0.1,-,1,0.8,15.5,81.9,0.1,0.4,-
6,David Ospina ,30, GK,6.5,Napoli,183,80,13(1),1187,-,-,-,-,-,74.1,0.5,1,-,-,-,-,0.1,0.3,-,-,0.1,0.1,-,-,-,0.6,-,-,-,-,-,20.9,74.1,-,3.9,-
7,Dries Mertens ,31," AM(CLR),FW",7.08,Napoli,169,61,17(10),1676,10,9,1,-,2.3,78.2,0.1,2,10,9,2.3,1.9,0.5,0.9,0.3,0.7,1.2,0.6,0.4,1,-,0.1,0.6,-,-,9,1.9,21.7,78.2,0.4,0.6,0.1
8,Elseid Hysaj ,25, D(LR),6.74,Napoli,182,75,20(3),1752,-,2,2,-,0.5,86.1,0.9,-,-,2,0.5,0.6,0.7,0.7,-,0.7,0.9,1.4,1,0.7,0.2,1.5,0.8,-,-,2,0.6,55.0,86.1,0.2,2.1,-
9,Fabián Ruiz ,23, AM(CL),7.2,Napoli,189,70,13(5),1317,3,2,-,1,1.9,89.1,0.8,1,3,2,1.9,2.4,1.2,0.7,0.1,1.1,1,1.6,0.8,0.4,-,0.9,1,0.2,-,2,2.4,64.5,89.1,0.3,2.9,-
10,Faouzi Ghoulam ,28, D(L),6.74,Napoli,186,80,6(3),621,-,2,1,-,0.6,89.8,1.6,-,-,2,0.6,1.2,-,0.7,0.3,0.1,0.3,0.6,0.4,0.9,-,0.6,0.1,0.1,-,2,1.2,43.8,89.8,1.3,0.8,0.1
11,José Callejón ,32, M(LR),7.03,Napoli,178,73,22(3),1976,3,8,1,-,1.7,85.9,0.3,1,3,8,1.7,2.2,0.3,1.6,0.6,0.6,0.9,1.2,0.7,0.4,-,0.2,1.2,0.2,-,8,2.2,42.2,85.9,1.2,1.9,-
12,Kalidou Koulibaly ,27, D(C),7.07,Napoli,195,89,27,2420,-,2,7,1,0.6,88.8,2.3,1,-,2,0.6,0.3,0.3,0.6,-,0.3,0.5,1.7,1.2,1.4,0.7,4,0.4,0.9,-,2,0.3,74.2,88.8,-,4.4,-
13,Kevin Malcuit ,27," D(R),M(R)",7.15,Napoli,178,75,14(4),1282,-,1,3,-,0.4,86.2,0.8,1,-,1,0.4,0.9,1.4,0.8,0.1,0.8,1.7,1.8,1.8,1.1,0.1,2.5,0.4,0.2,-,1,0.9,41.8,86.2,1.1,1.3,0.1
14,Lorenzo Insigne ,27," AM(CL),FW",7.31,Napoli,163,59,21(2),1823,9,6,5,1,4.7,86.2,0.1,3,9,6,4.7,2.5,1,0.6,0.7,1,1.7,0.5,0.3,0.3,-,0.1,0.5,-,-,6,2.5,45.8,86.2,0.4,3.1,0.3
15,Marek Hamsik ,31, AM(C),6.66,Napoli,183,79,12(1),922,-,-,1,-,1.2,88.4,0.6,-,-,-,1.2,1.2,0.5,0.2,-,0.5,0.4,0.5,0.9,0.4,0.1,1,0.8,0.1,-,-,1.2,65.2,88.4,-,5.0,-
16,Marko Rog ,23, M(C),6.6,Napoli,180,73,4(5),332,1,-,3,-,0.7,90.8,0.3,-,1,-,0.7,-,0.9,1,-,0.4,0.9,1.3,0.6,1.3,0.1,0.1,0.7,0.2,-,-,-,20.4,90.8,-,0.3,-
17,Mário Rui ,27, D(L),6.7,Napoli,170,67,15(2),1225,-,1,3,1,1,85.1,0.2,1,-,1,1,1.4,0.6,0.8,0.1,0.7,1.1,1.3,1.2,0.8,0.1,1.5,0.6,0.2,-,1,1.4,55.1,85.1,0.7,1.9,0.1
18,Nikola Maksimovic ,27," D(CR),M(R)",6.88,Napoli,193,82,14(2),1285,-,-,4,-,0.1,92.6,1.6,-,-,-,0.1,0.3,0.3,1,0.1,0.1,0.4,1.2,1.6,0.6,0.4,3.1,0.3,0.5,-,-,0.3,49.5,92.6,-,2.8,-
19,Orestis Karnezis ,33, GK,6.87,Napoli,189,79,6,540,-,-,-,-,-,59.3,0.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,22.5,59.3,-,3.5,-
20,Piotr Zielinski ,24, AM(CL),6.94,Napoli,180,75,24(3),2088,4,-,5,-,2.3,90.1,0.4,-,4,-,2.3,1.6,1,0.8,0.1,1,1.6,1,0.5,0.8,-,0.3,0.7,0.1,-,-,1.6,50.0,90.1,0.2,2.4,0.1
21,Raúl Albiol ,33, D(C),6.92,Napoli,190,82,16,1440,1,-,4,-,0.3,88.7,2.3,-,1,-,0.3,0.3,-,0.2,-,0.1,0.3,1,1.2,0.6,0.7,4.9,0.4,0.8,-,-,0.3,58.1,88.7,0.1,7.2,0.1
22,Sebastiano Luperto ,22, Defender,6.55,Napoli,191,75,2(4),282,-,-,-,-,0.3,89.8,1.5,-,-,-,0.3,-,0.2,0.8,-,-,0.3,1,0.8,0.3,-,1.3,0.3,-,-,-,-,34.2,89.8,-,0.7,-
23,Simone Verdi ,26," AM(CLR),FW",6.6,Napoli,171,62,7(8),503,3,3,-,-,1,88.6,0.1,1,3,3,1,0.8,0.5,0.3,-,0.9,1.3,0.7,0.3,0.6,-,0.1,0.3,-,-,3,0.8,15.3,88.6,0.5,0.6,0.1
24,Vlad Chiriches ,29, D(CR),6.7,Napoli,184,75,1,46,-,-,-,-,-,96.8,1,-,-,-,-,-,1,-,-,-,1,1,1,-,-,-,2,2,-,-,-,31.0,96.8,-,3.0,-
0,Andrea Favilli ,21, Forward,6.45,Genoa,190,78,0(5),153,-,2,-,-,1,76.3,1.6,-,-,2,1,0.6,0.4,0.4,0.2,0.2,1.2,0.2,-,1.4,-,0.2,-,-,-,2,0.6,7.6,76.3,-,0.4,-
1,Antonio Sanabria ,23, FW,6.83,Genoa,180,70,7(1),604,3,-,1,-,3,73.3,3,-,3,-,3,0.8,0.9,1.1,0.1,1.8,2.4,0.6,0.5,1.9,-,0.1,0.1,-,-,-,0.8,13.1,73.3,-,0.6,-
2,Christian Kouamé ,21," AM(L),FW",7.08,Genoa,185,70,26(3),2395,4,5,4,-,2.3,67.6,4.8,1,4,5,2.3,1.3,1.1,2.1,0.3,2.1,2.8,0.9,0.7,1.1,-,0.7,0.4,-,-,5,1.3,25.4,67.6,0.2,0.4,-
3,Cristian Romero ,20, D(C),6.79,Genoa,185,79,20,1760,1,-,7,1,0.8,81.0,2.2,-,1,-,0.8,0.1,0.5,0.8,-,0.2,0.6,2,1.5,1.5,0.5,5,0.3,1.1,-,-,0.1,29.8,81.0,-,2.3,-
4,Daniel Bessa ,26, AM(C),6.57,Genoa,173,68,19(7),1878,1,3,7,-,1.1,85.2,0.3,-,1,3,1.1,1.2,0.4,0.6,0.2,1,1.3,1.9,0.6,1.5,-,0.2,0.8,0.2,-,3,1.2,32.7,85.2,0.4,1.5,-
5,Darko Lazovic ,28, M(LR),6.67,Genoa,181,66,26(3),2190,2,4,2,-,1.2,73.8,0.4,1,2,4,1.2,1.4,1.2,0.4,0.1,0.6,1.2,0.8,0.5,0.3,0.1,0.8,0.6,0.2,-,4,1.4,23.7,73.8,0.9,0.9,-
6,Davide Biraschi ,24, D(CR),6.79,Genoa,182,73,26,2280,-,-,3,-,0.3,68.8,2,2,-,-,0.3,0.3,1.4,1.1,-,0.6,0.7,1.8,2.1,1.1,0.5,2.9,0.5,0.5,1,-,0.3,34.6,68.8,0.3,2.4,-
7,Domenico Criscito ,32, D(CL),7.16,Genoa,183,75,27,2351,1,4,10,1,0.9,77.0,1.3,2,1,4,0.9,1.4,0.6,1.2,-,0.3,0.5,3.1,2.1,1.2,0.3,4,0.9,0.4,-,4,1.4,43.4,77.0,0.8,3.7,0.1
8,Ervin Zukanovic ,32, D(CL),6.56,Genoa,188,85,15(3),1364,-,-,4,-,0.7,85.7,1.9,-,-,-,0.7,0.4,0.1,0.3,-,0.3,0.1,0.9,0.8,1.1,0.6,3.8,0.7,0.5,-,-,0.4,40.0,85.7,0.3,2.1,-
9,Esteban Rolón ,24, DMC,6.59,Genoa,175,70,8(4),758,-,-,6,-,0.5,77.7,0.6,-,-,-,0.5,0.8,0.7,1,-,1.1,0.6,2.8,1.3,1.7,-,0.5,1.4,0.2,-,-,0.8,25.0,77.7,-,0.9,-
10,Federico Marchetti ,36, GK,6.26,Genoa,188,76,4,360,-,-,1,-,-,70.9,-,-,-,-,-,-,-,-,-,-,0.3,-,-,-,-,0.3,-,-,-,-,-,25.8,70.9,-,7.5,-
11,Gianluca Lapadula ,29, FW,6.08,Genoa,178,69,0(3),31,-,-,-,-,1.3,50.0,0.7,-,-,-,1.3,0.3,-,0.3,-,-,-,-,-,0.3,-,-,-,-,-,-,0.3,1.3,50.0,-,-,-
12,Giuseppe Pezzella ,21," D(L),M(L)",5.97,Genoa,185,81,0(2),4,-,-,-,-,-,66.7,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1.5,66.7,-,-,-
13,Goran Pandev ,35," M(CR),FW",6.43,Genoa,184,75,7(12),671,3,1,4,-,0.8,76.7,0.5,1,3,1,0.8,0.8,0.5,1.5,-,0.8,1.3,0.5,0.1,0.4,-,0.2,0.3,-,-,1,0.8,12.2,76.7,0.2,0.9,0.1
14,Ionut Radu ,21, GK,6.62,Genoa,188,70,24,2160,-,-,-,-,-,45.3,0.5,-,-,-,-,0.1,0.1,-,-,-,-,-,-,-,-,1.1,-,-,-,-,0.1,26.4,45.3,-,7.9,-
15,Iuri Medeiros ,24," AM(R),FW",6.44,Genoa,174,66,2,108,-,-,-,-,1,90.2,0.5,-,-,-,1,1,1.5,1,-,0.5,1,1,-,0.5,-,-,0.5,-,-,-,1,20.5,90.2,-,3,-
16,Ivan Radovanovic ,30, DMC,6.76,Genoa,186,80,8,648,-,-,1,-,1.9,81.8,3.4,-,-,-,1.9,0.5,0.5,0.5,0.1,0.3,0.5,1.3,0.8,1.3,-,1.1,0.5,0.4,-,-,0.5,51.4,81.8,0.3,5.9,-
17,Jandrei ,26, GK,6.34,Genoa,186,74,1,90,-,-,-,-,-,62.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,29.0,62.1,-,15,-
18,Koray Günter ,24, D(C),6.4,Genoa,184,79,5(5),601,-,-,1,-,0.2,81.9,1.5,-,-,-,0.2,0.2,-,0.7,0.1,-,0.1,1.1,1.2,0.6,0.2,2.7,0.5,0.4,-,-,0.2,22.6,81.9,0.1,1.6,-
19,Krzysztof Piatek ,23, FW,7.2,Genoa,183,77,18(1),1594,13,-,5,-,4.1,73.2,2.3,2,13,-,4.1,0.8,0.4,1.8,0.6,1.2,2.5,0.5,0.2,1.6,0.1,1.1,0.7,0.2,-,-,0.8,15.7,73.2,-,0.7,0.1
20,Luca Mazzitelli ,23, DMC,6.22,Genoa,184,76,2(6),271,-,-,3,-,0.5,74.7,1.3,-,-,-,0.5,0.4,-,0.5,-,0.4,0.3,0.4,0.6,1.3,-,0.8,0.1,0.1,-,-,0.4,22.8,74.7,0.1,2.3,-
21,Lukas Lerager ,25, DMC,6.94,Genoa,185,80,8,687,1,-,1,-,1,74.7,2.1,1,1,-,1,1,0.1,2.1,0.1,0.5,0.4,3.5,1.5,2.4,-,0.9,2.5,-,-,-,1,30.1,74.7,0.8,1,-
22,Miguel Veloso ,32, M(C),6.33,Genoa,180,79,7(7),667,-,-,3,-,1.1,81.6,0.4,-,-,-,1.1,0.3,0.1,0.3,-,0.3,0.6,1.3,0.8,1.2,-,0.6,0.8,0.1,-,-,0.3,21.8,81.6,0.4,1.4,-
23,Nicola Dalmonte ,21, Forward,6.19,Genoa,168,62,0(3),41,-,-,-,-,1,84.2,-,-,-,-,1,0.3,-,0.3,-,0.7,0.3,0.7,-,0.3,-,-,-,-,-,-,0.3,6.3,84.2,0.3,-,-
24,Nicolás Spolli ,36, D(C),6.29,Genoa,193,88,7,540,-,-,2,-,0.4,87.7,1.3,-,-,-,0.4,0.1,-,0.6,-,-,0.3,1,1,1.1,0.4,5.6,0.3,0.9,1,-,0.1,25.6,87.7,-,1.1,-
