,player,age,position,Rating,Team,CM,KG,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,league
0,Alex McCarthy ,29, GK,6.58,Southampton,193,79,25,2250,-,-,1,-,-,45,0.6,1,-,-,-,-,-,0.1,-,-,-,-,-,-,-,0.9,-,-,-,-,-,23.4,45,-,5.6,-,England-Premier-League
1,Angus Gunn ,23, GK,6.96,Southampton,196,77,6,540,-,-,-,-,-,33.3,0.2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,24,33.3,-,5.7,-,England-Premier-League
2,Callum Slattery ,20, Midfielder,6.26,Southampton,0,0,1(2),110,-,-,-,-,0.3,71,1,-,-,-,0.3,-,0.3,1,-,0.7,1.3,1.3,0.7,1.3,-,0.3,1.3,0.3,-,-,-,10.3,71,-,0.3,-,England-Premier-League
3,Charlie Austin ,29, FW,6.32,Southampton,188,84,11(11),958,2,2,1,-,1.4,58.6,1.9,-,2,2,1.4,0.4,-,0.8,0.4,0.5,1.3,0.5,0.1,0.6,-,0.6,0.2,0.1,-,2,0.4,8.7,58.6,-,0.2,-,England-Premier-League
4,Cédric Soares ,27," D(R),M(R)",6.56,Southampton,172,67,16(2),1494,1,2,4,-,0.6,73.1,1.3,-,1,2,0.6,0.7,0.4,0.3,0.1,0.6,0.8,1.2,1.2,0.5,0.1,2.8,0.3,0.3,-,2,0.7,33.1,73.1,0.8,1.7,-,England-Premier-League
5,Danny Ings ,26," AM(C),FW",6.84,Southampton,178,73,18(1),1328,7,1,1,-,2.5,71.9,0.8,-,7,1,2.5,1.1,0.8,0.9,0.3,0.9,2.2,1.2,0.2,0.7,-,0.4,0.8,0.1,-,1,1.1,16.1,71.9,0.1,0.6,0.1,England-Premier-League
6,Jack Stephens ,25, D(C),6.57,Southampton,185,75,14(4),1287,1,-,4,-,0.4,75.5,2.4,1,1,-,0.4,0.3,0.2,0.3,-,0.2,0.4,1.1,1.3,0.4,0.4,4.2,0.5,0.5,-,-,0.3,32.9,75.5,-,2.4,-,England-Premier-League
7,James Ward-Prowse ,24, M(CR),6.89,Southampton,173,66,15(4),1379,6,-,3,-,1.2,76.5,0.9,-,6,-,1.2,1.8,0.2,0.4,0.1,0.5,1,1.4,0.9,0.8,-,2.3,1.2,0.3,1,-,1.8,27.4,76.5,1.4,0.8,-,England-Premier-League
8,Jan Bednarek ,22, D(C),7.13,Southampton,189,77,17(1),1521,-,1,5,-,-,71.3,3.1,3,-,1,-,0.4,-,0.3,-,0.3,0.1,1.8,2.6,1,0.8,6.7,0.4,1.4,-,1,0.4,32.3,71.3,-,1.3,0.1,England-Premier-League
9,Jannik Vestergaard ,26, D(C),7.02,Southampton,199,96,21,1857,-,-,2,-,0.6,77.3,3.7,-,-,-,0.6,0.2,0.4,0.7,-,0.2,0.5,2,1.6,0.7,0.9,7.2,0.7,0.8,-,-,0.2,38.1,77.3,-,2.4,0.1,England-Premier-League
10,Josh Sims ,22, AM(R),6.4,Southampton,174,67,0(2),46,-,-,-,-,1,80,-,-,-,-,1,-,1,0.5,-,-,0.5,0.5,-,-,-,-,0.5,-,-,-,-,7.5,80,-,0.5,-,England-Premier-League
11,Kayne Ramsay ,18, Defender,6.09,Southampton,0,0,1,90,-,-,-,-,-,71.4,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,14,71.4,-,-,-,England-Premier-League
12,Manolo Gabbiadini ,27," AM(CLR),FW",6.25,Southampton,181,72,4(8),471,1,-,-,-,1.7,67.8,0.7,1,1,-,1.7,0.4,0.2,0.7,0.1,0.3,0.4,0.5,0.3,0.8,-,0.4,0.1,-,-,-,0.4,10.1,67.8,0.1,0.1,-,England-Premier-League
13,Mario Lemina ,25, DMC,6.87,Southampton,184,85,17(1),1480,-,1,5,-,1.2,86.1,1.5,-,-,1,1.2,0.5,1.1,1.2,0.1,1.6,1.2,2.6,2.2,1.5,-,1.4,0.9,0.2,-,1,0.5,41.8,86.1,0.2,2.2,-,England-Premier-League
